City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
242,Ketou,BJ,7.3633,2.5998,99.88,17,82,3.29,broken clouds
243,Yenagoa,NG,4.9247,6.2642,101.77,25,14,1.99,few clouds
244,Trinidad,BO,-14.8333,-64.9,78.78,73,75,9.22,broken clouds
245,Saint Anthony,US,45.0205,-93.218,1.96,82,0,4.61,clear sky
246,Igrim,RU,63.1906,64.4162,1.56,98,100,5.1,overcast clouds
247,Sur,OM,22.5667,59.5289,70.25,61,0,9.8,clear sky
248,Nyurba,RU,63.2842,118.3319,-11.18,97,100,6.11,overcast clouds
249,Balkhash,KZ,46.844,74.9804,17.85,97,100,1.61,overcast clouds
250,Lerwick,GB,60.1545,-1.1494,42.8,88,100,33.06,overcast clouds
251,Trairi,BR,-3.2778,-39.2689,82.44,71,100,7.54,overcast clouds
252,Dunedin,NZ,-45.8742,170.5036,56.8,76,0,3.0,clear sky
253,Antsohihy,MG,-14.8796,47.9875,82.85,78,63,5.64,light rain
254,San Patricio,US,28.017,-97.5169,51.84,86,99,10.04,overcast clouds
255,Belle Glade,US,26.6845,-80.6676,73.99,84,75,3.29,broken clouds
256,Huadian,CN,42.9633,126.7478,-0.38,97,7,0.83,clear sky
257,Marawi,PH,7.9986,124.2928,68.65,84,47,2.15,scattered clouds
258,Santa Cruz Del Sur,CU,20.7147,-77.9956,77.18,61,5,15.14,light rain
259,Haapiti,PF,-17.5667,-149.8667,74.93,74,98,19.15,light rain
260,Seddon,AU,-37.8068,144.8916,65.71,75,0,9.22,clear sky
261,Sobolevo,RU,54.4299,31.8996,32.94,98,100,12.01,light snow
262,Ilheus,BR,-14.7889,-39.0494,85.82,74,20,4.61,few clouds
263,Coihaique,CL,-45.5752,-72.0662,70.41,59,0,8.05,clear sky
264,Taikang,CN,46.8333,124.4167,2.91,95,46,5.91,scattered clouds
265,Tuatapere,NZ,-46.1333,167.6833,47.82,87,2,3.83,clear sky
266,Ngunguru,NZ,-35.6167,174.5,74.16,98,99,7.81,overcast clouds
267,Puerto Padre,CU,21.195,-76.6028,78.01,54,26,13.13,scattered clouds
268,Vestmanna,FO,62.1564,-7.1664,43.72,65,75,11.5,broken clouds
269,Torbay,CA,47.6666,-52.7314,17.58,73,20,13.8,few clouds
270,Floro,NO,61.5996,5.0328,38.97,93,75,11.5,broken clouds
271,Tsaratanana,MG,-16.7833,47.65,79.88,77,77,6.38,light rain
272,Bundaberg,AU,-24.85,152.35,67.21,86,0,6.91,clear sky
273,Okato,NZ,-39.2,173.8833,70.92,80,59,6.44,light rain
274,Samarai,PG,-10.6167,150.6667,81.07,79,100,9.95,overcast clouds
275,Rocha,UY,-34.4833,-54.3333,68.58,73,79,15.82,broken clouds
276,Chabahar,IR,25.2919,60.643,70.83,55,0,13.15,clear sky
277,Meadow Lake,US,34.8014,-106.5436,27.14,76,0,2.13,clear sky
278,Florence,IT,43.7667,11.25,62.31,33,20,17.0,few clouds
