City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
457,Dubai,AE,72.21,few clouds,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
458,Mareeba,AU,72.32,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
461,Japura,ID,74.75,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
462,Polonnaruwa,LK,73.74,overcast clouds,7.9333,81.0,Thisara Guest House
464,Coolum Beach,AU,70.11,scattered clouds,-26.5333,153.1,Coolum Beach Resort
465,Sesheke,ZM,75.0,moderate rain,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
466,Kismayo,SO,79.29,clear sky,-0.3582,42.5454,Agan-Hotel
469,Bilma,NE,80.19,clear sky,18.6853,12.9164,Expeditions Ténére voyages
472,Sumbe,AO,80.6,scattered clouds,-11.2061,13.8437,Hotel Ritz Sumbe
473,Nieuw Amsterdam,SR,86.02,scattered clouds,5.8833,-55.0833,Hotel Stardust
476,San Carlos De Bariloche,AR,71.35,clear sky,-41.1456,-71.3082,Hotel Patagonia
480,Alexandria,EG,66.74,clear sky,31.2156,29.9553,Royal Crown Hotel
481,Surt,LY,63.57,overcast clouds,31.2089,16.5887,الهادي ابوشعاله سرت
482,Taitung,TW,69.71,overcast clouds,22.7583,121.1444,Taitung Bali Suites Hotel
484,Ciudad Bolivar,VE,88.59,scattered clouds,8.1222,-63.5497,Hotel Edi
486,Kaele,CM,91.56,clear sky,10.1092,14.4508,Hôtel Les Palmiers
487,Sainte-Suzanne,RE,82.62,light rain,-20.9061,55.6089,Gites Ango
491,Saint-Pierre,RE,82.08,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
492,Da Nang,VN,75.18,scattered clouds,16.0678,108.2208,Sun River Hotel
493,Sikonge,TZ,71.53,light rain,-5.6333,32.7667,Pretoria 2 Lodge
495,Formosa,AR,78.78,clear sky,-26.1775,-58.1781,Hotel Portal del Sol
496,Ovalle,CL,77.09,clear sky,-30.5983,-71.2003,Hotel Altos de Tuqui
497,Cabo San Lucas,MX,63.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
499,Kassala,SD,83.62,broken clouds,15.451,36.4,Amassi Hotel Gash
500,Porto Santo,PT,66.11,broken clouds,33.072,-16.3415,Hotel Porto Santo & Spa
503,Mitsamiouli,KM,84.49,light rain,-11.3847,43.2844,Foyer ADM
505,Nhulunbuy,AU,79.41,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
506,Port Blair,IN,78.64,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
508,Encheng,CN,60.96,overcast clouds,22.1839,112.3026,Pinghu Hostel
509,Sao Joao Da Barra,BR,87.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
513,Porbandar,IN,70.48,clear sky,21.6422,69.6093,Lords Inn Porbandar
515,Borba,BR,85.48,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
516,Mount Isa,AU,74.97,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
518,Talara,PE,81.36,clear sky,-4.5772,-81.2719,Hostal Oro Negro
521,Mahajanga,MG,86.02,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
529,Alice Springs,AU,69.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
531,Pozo Colorado,PY,82.56,clear sky,-23.4923,-58.7972,Hospedaje la Amistad
535,Ipixuna,BR,84.15,broken clouds,-1.7625,-48.8043,Casa da Oscarina
536,Mpika,ZM,64.58,light rain,-11.8343,31.4529,Melodies Lodge
537,Akyab,MM,68.25,few clouds,20.15,92.9,Hotel Memory
538,Rantauprapat,ID,73.38,heavy intensity rain,2.1,99.8333,Permata Land Hotel & Resort
539,Rio Grande,BR,77.11,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
541,Faanui,PF,81.25,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
542,Makakilo City,US,71.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
549,Rawson,AR,83.19,clear sky,-43.3002,-65.1023,Hosteria Sampedro
550,La Asuncion,VE,82.13,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
552,Mbandaka,CD,93.6,clear sky,0.0487,18.2603,Guest House Epervier
557,Kokopo,PG,78.75,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
558,Gorontalo,ID,74.17,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
561,Moerai,PF,79.52,broken clouds,-22.4333,-151.3333,Le Manotel
565,Ohafia,NG,98.94,few clouds,5.6167,7.8333,Hill Flower Hotel
566,Kingaroy,AU,60.84,clear sky,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
569,Pringsewu,ID,74.5,overcast clouds,-5.3582,104.9744,Urban Style by Front One
573,Camacha,PT,63.36,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
578,Castelo Do Piaui,BR,92.43,broken clouds,-5.3222,-41.5525,Nobre Hotel
579,Londa,IN,74.53,broken clouds,15.4691,74.5191,SK home
584,Adelaide,AU,82.29,clear sky,-34.9333,138.6,The Chancellor on Currie
587,Fort Beaufort,ZA,89.71,clear sky,-32.7748,26.6338,iNK Conference Centre
589,Jalingo,NG,98.65,clear sky,8.8833,11.3667,Debright Motel
590,Belmonte,BR,86.5,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
591,Acari,PE,79.09,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
592,Lucknow,IN,60.78,haze,26.85,80.9167,OYO Flagship 19334 Shanta Inn Charbagh
598,Rusape,ZW,68.83,overcast clouds,-18.5278,32.1284,Surrey Lodge
599,Mandera,KE,94.55,broken clouds,3.9366,41.867,Mwalimu Guest mandera
601,Aden,YE,78.28,broken clouds,12.7794,45.0367,Sama Emirate Hotel
602,Bull Savanna,JM,78.03,scattered clouds,17.8868,-77.5902,Big Red's
603,Vao,NC,80.17,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
604,Veraval,IN,69.71,clear sky,20.9,70.3667,Lords Inn Somnath
605,Kaeo,NZ,74.32,overcast clouds,-35.1,173.7833,Bushido Lodge
608,Letlhakane,BW,87.24,broken clouds,-21.4167,25.5833,Motswedi Hotel
613,Tual,ID,83.48,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
614,Namanga,KE,77.13,overcast clouds,-2.5433,36.7905,Hillsgate Home
615,Santa Maria,BR,70.9,few clouds,-29.6842,-53.8069,Hotel Morotin
620,Wukari,NG,99.57,overcast clouds,7.85,9.7833,Elimtop
622,Namatanai,PG,80.04,light rain,-3.6667,152.4333,Seagulls Inn Namatani
625,Mae Sai,TH,67.89,clear sky,20.4335,99.8762,Piyaporn Hill Paradise Hotel
627,Kununurra,AU,76.98,moderate rain,-15.7667,128.7333,Hotel Kununurra
629,San Policarpo,PH,79.63,broken clouds,12.1791,125.5072,Agapita M. Nicart
632,Bahia Blanca,AR,73.35,clear sky,-38.7196,-62.2724,Hotel Argos
633,Pontianak,ID,78.78,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
634,Ferrol,ES,60.35,clear sky,43.4832,-8.2369,Parador de Ferrol
635,Conde,BR,87.26,few clouds,-7.2597,-34.9075,Pousada Beija Flor
636,Denpasar,ID,82.06,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
641,Alofi,NU,73.29,light intensity shower rain,-19.0595,-169.9187,Taloa Heights
642,Atar,MR,90.79,overcast clouds,20.5169,-13.0499,Oumou Elghoura
